Rain Date,"('SPY_Close', 'SPY')","('SPY_Return', '')","('SPY_CumReturn', '')"
2024-01-01,,,
2024-01-06,,,
2024-01-07,,,
2024-01-09,463.81427001953125,-0.001517078830942653,
2024-01-10,466.4373474121094,0.005655447799110869,
2024-01-12,466.5547790527344,0.0006927842760486858,
2024-01-13,,,
2024-01-15,,,
2024-01-16,464.8419494628906,-0.003671229332001258,
2024-01-19,472.18267822265625,0.012466190558889867,
2024-01-23,474.56103515625,0.002916441688321836,
2024-01-24,475.07977294921875,0.0010930897282748209,
2024-01-25,477.6637268066406,0.005438989417253293,
2024-01-26,477.056884765625,-0.001270437772347921,
2024-01-28,,,
2024-01-29,480.83489990234375,0.00791942273000612,
2024-02-02,483.8495178222656,0.010527412727276309,
2024-02-13,483.5852355957031,-0.013772966743814563,
2024-02-17,,,
2024-02-22,496.72015380859375,0.020695570640436367,
2024-02-23,497.0627136230469,0.0006896434779755101,
2024-02-26,495.2422180175781,-0.003662506874030691,
2024-02-27,496.1622619628906,0.0018577655778122537,
2024-02-28,495.5065002441406,-0.0013216678675957994,
2024-03-02,,,
2024-03-05,496.4069519042969,-0.009994053730660202,
2024-03-06,498.92236328125,0.005067236402116482,
2024-03-07,503.8749084472656,0.009926484620661924,
2024-03-09,,,
2024-03-10,,,
2024-03-20,511.0072326660156,0.009249285224698367,
2024-03-23,,,
2024-03-27,513.6482543945312,0.00840383158354352,
2024-03-28,513.5501708984375,-0.00019095459831619532,
2024-03-30,,,
2024-03-31,,,
2024-04-01,512.6565551757812,-0.001740074822860871,
2024-04-02,509.39715576171875,-0.006357861576440582,
2024-04-03,509.9566955566406,0.0010984352554641585,
2024-04-04,503.73211669921875,-0.012206093010755481,
2024-04-11,508.5723876953125,0.007546943716632892,
2024-04-12,501.5525207519531,-0.013803083126811444,
2024-04-13,,,
2024-04-14,,,
2024-04-17,491.43994140625,-0.005918191288244112,
2024-04-18,490.4287414550781,-0.0020576267127949688,
2024-04-20,,,
2024-04-28,,,
2024-04-29,500.77691650390625,0.0035414993405211703,
2024-04-30,492.84393310546875,-0.015841351981278118,
2024-05-01,491.2436218261719,-0.0032470954227094007,
2024-05-05,,,
2024-05-08,507.7771301269531,9.671079900797075e-05,
2024-05-10,511.36065673828125,0.0012879815320394616,
2024-05-12,,,
2024-05-14,513.7759399414062,0.0045882338760503405,
2024-05-15,520.1380004882812,0.012382947608641448,
2024-05-16,519.0677490234375,-0.0020576298286975048,
2024-05-18,,,
2024-05-23,516.3875122070312,-0.007304335949939178,
2024-05-27,,,
2024-05-29,516.52490234375,-0.007002586001657041,
2024-05-30,513.0984497070312,-0.006633663974710768,
2024-06-06,524.9291381835938,-1.860335541747915e-05,
2024-06-14,532.9013671875,0.0006081999379079495,
2024-06-22,,,
2024-06-26,537.3096313476562,0.0012482504589808041,
2024-06-27,538.1566162109375,0.00157634409261731,
2024-06-29,,,
2024-06-30,,,
2024-07-04,,,
2024-07-05,546.30224609375,0.005766409241896531,
2024-07-06,,,
2024-07-11,548.1145629882812,-0.008622698645911364,
2024-07-12,551.5718383789062,0.006307578057725971,
2024-07-13,,,
2024-07-15,553.0887451171875,0.0027501526233455476,
2024-07-17,548.5676879882812,-0.014021106586848409,
2024-07-22,546.312255859375,0.010310134796360781,
2024-07-23,545.4552001953125,-0.0015688018250923363,
2024-07-29,536.5708618164062,0.0005879801425243691,
2024-07-31,542.52978515625,0.01625447772149191,
2024-08-02,524.8890991210938,-0.018618419513553364,
2024-08-03,,,
2024-08-04,,,
2024-08-06,514.3007202148438,0.009219607020950482,
2024-08-07,510.8631591796875,-0.006683951431606494,
2024-08-08,522.6729125976562,0.023117254015599942,
2024-08-09,524.977783203125,0.004409776267175758,
2024-08-17,,,
2024-08-18,,,
2024-08-19,551.1975708007812,0.00956145529530561,
2024-08-26,552.3598022460938,-0.002383952623433716,
2024-08-30,555.2064208984375,0.009546098895653499,
2024-09-07,,,
2024-09-23,562.8273315429688,0.0024987011298402972,
2024-09-26,565.42578125,0.003964516805142537,
2024-09-27,564.6057739257812,-0.0014502474973920876,
2024-09-28,,,
2024-09-29,,,
