timestamp,symbol,side,price,quantity,strategy,reason,balance_after_trade
2025-10-13 22:45:37,BTC/USDT,buy,123850.45,0.0002026857889712369,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.31
2025-10-13 22:45:37,BTC/USDT,sell,123646.27,0.0002026857889712369,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.37
2025-10-13 22:45:37,BTC/USDT,buy,123706.35,0.00020283825427388884,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.28
2025-10-13 22:45:37,BTC/USDT,sell,123770.71,0.00020283825427388884,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.38
2025-10-13 22:45:37,BTC/USDT,buy,123913.23,0.00020252594290461122,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.29
2025-10-13 22:45:37,BTC/USDT,sell,124227.46,0.00020252594290461122,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.45
2025-10-13 22:45:37,BTC/USDT,buy,124434.83,0.000201804861837041,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.33
2025-10-13 22:45:37,BTC/USDT,sell,124898.33,0.000201804861837041,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.54
2025-10-13 22:45:37,BTC/USDT,buy,124477.78,0.00020192308871696665,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.40
2025-10-13 22:45:37,BTC/USDT,sell,125297.46,0.00020192308871696665,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.71
2025-10-13 22:45:37,BTC/USDT,buy,124932.15,0.00020151991215688626,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.53
2025-10-13 22:45:37,BTC/USDT,sell,125147.61,0.00020151991215688626,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.75
